2016-04-11 10:47:15,625 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:47:15,627 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:47:15,637 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:48:27,194 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:48:27,196 [Worker-14] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 10:48:37,143 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:48:37,161 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:48:37,164 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:48:37,181 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:54:59,117 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:54:59,118 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 10:55:09,686 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:55:09,707 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:55:09,710 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:55:09,729 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:55:15,628 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-04-11 10:55:56,341 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:55:56,341 [Worker-20] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2016-04-11 10:56:03,167 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:56:03,182 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2016-04-11 10:56:03,227 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 10:56:03,240 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 10:56:13,114 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 10:56:13,114 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 10:56:26,867 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2016-04-11 11:01:58,835 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 11:01:58,871 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 11:01:58,878 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 11:01:58,899 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 11:02:48,423 [Worker-22] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 11:02:48,424 [Worker-22] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 11:03:16,621 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 11:03:16,636 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 11:03:16,639 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-11 11:03:16,652 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-04-11 11:03:24,752 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\KULIAH\kuliah\Semester 8\MPB\6\loan-approval
2016-04-11 11:03:24,752 [Worker-11] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-04-11 12:02:40,225 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: org.camunda.bpm.getstarted:pendaftaran-bpjs:0.0.1-SNAPSHOT @ D:\KULIAH\kuliah\Semester 8\MPB\6\pendaftaran-bpjs\pom.xml.
